Statistical profiling result from no-bloq.log, (5425 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   2008   37.0%  T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
    737   36.7%    T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
     54    7.3%      T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
      7   13.0%        LazyCompile: ~checkInvalidHeaderChar node:_http_common:233:32
      7  100.0%          LazyCompile: ~<anonymous> node:_http_outgoing:561:45
      7  100.0%            LazyCompile: ~setHeader node:_http_outgoing:571:57
      6   11.1%        LazyCompile: ~parseQueryStringValues /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:41:50
      6  100.0%          LazyCompile: ~module.exports /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:222:27
      6  100.0%            LazyCompile: ~parseExtendedQueryString /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/utils.js:291:34
      6   11.1%        LazyCompile: *parseQueryStringValues /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:41:50
      4   66.7%          LazyCompile: ~module.exports /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:222:27
      4  100.0%            LazyCompile: ~parseExtendedQueryString /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/utils.js:291:34
      2   33.3%          LazyCompile: *module.exports /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:222:27
      2  100.0%            LazyCompile: ~parseExtendedQueryString /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/utils.js:291:34
      6   11.1%        LazyCompile: *header /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:754:29
      6  100.0%          LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
      6  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app.js:59:17
      5    9.3%        LazyCompile: ~expressInit /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/middleware/init.js:29:30
      4   80.0%          LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      3   75.0%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      1   25.0%            LazyCompile: ~trim_prefix /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:288:23
      1   20.0%          LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      4    7.4%        LazyCompile: ~parseObject /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:100:28
      4  100.0%          LazyCompile: ~parseQueryStringKeys /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:135:46
      4  100.0%            LazyCompile: ~module.exports /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:222:27
      4    7.4%        LazyCompile: ~header /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:754:29
      2   50.0%          LazyCompile: ~send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      2  100.0%            LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
      2   50.0%          LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
      2  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app.js:59:17
      3    5.6%        LazyCompile: ~format /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/content-type/index.js:65:17
      2   66.7%          LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      2  100.0%            LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
      1   33.3%          LazyCompile: ~setCharset /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/utils.js:250:41
      1  100.0%            LazyCompile: ~send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      2    3.7%        LazyCompile: ~realpathSync node:fs:1731:22
      2  100.0%          LazyCompile: ~toRealPath node:internal/modules/cjs/loader:384:20
      2  100.0%            LazyCompile: ~tryFile node:internal/modules/cjs/loader:375:17
      1    1.9%        LazyCompile: ~stat node:internal/modules/cjs/loader:145:14
      1  100.0%          LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:485:28
      1  100.0%            LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:840:35
      1    1.9%        LazyCompile: ~resolvePackageTargetString node:internal/modules/esm/resolve:364:36
      1  100.0%          LazyCompile: ~resolvePackageTarget node:internal/modules/esm/resolve:418:30
      1  100.0%            LazyCompile: ~packageExportsResolve node:internal/modules/esm/resolve:514:31
      1    1.9%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:281:21
      1  100.0%          LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:312:26
      1  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1101:37
      1    1.9%        LazyCompile: ~populateConstructorExports /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/http-errors/index.js:242:37
      1  100.0%          Eval: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/http-errors/index.js:1:1
      1  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1046:37
      1    1.9%        LazyCompile: ~onParserExecuteCommon node:_http_server:693:31
      1  100.0%          LazyCompile: ~onParserExecute node:_http_server:636:25
      1    1.9%        LazyCompile: ~getOwn node:internal/bootstrap/loaders:153:16
      1  100.0%          LazyCompile: ~syncExports node:internal/bootstrap/loaders:258:14
